District ID,City ID,Name
575,38,TARABINTANG
576,39,SALAK
577,39,SITELU TALI URANG JEHE
578,39,PAGINDAR
579,39,SITELU TALI URANG JULU
580,39,PERGETTENG GETTENG
581,39,KERAJAAN
582,39,TINADA
583,39,SIEMPAT RUBE
584,40,SIANJAR MULA MULA
585,40,HARIAN
586,40,SITIO-TIO
587,40,ONAN RUNGGU
588,40,NAINGGOLAN
589,40,PALIPI
590,40,RONGGUR NIHUTA
591,40,PANGURURAN
592,40,SIMANINDO
593,41,KOTARIH
594,41,SILINDA
595,41,BINTANG BAYU
596,41,DOLOK MASIHUL
597,41,SERBA JADI
598,41,SIPISPIS
599,41,DOLOK MERAWAN
600,41,TEBING TINGGI
601,41,TEBING SYAHBANDAR
602,41,BANDAR KHALIPAH
603,41,TANJUNG BERINGIN
604,41,SEI RAMPAH
605,41,SEI BAMBAN
606,41,TELUK MENGKUDU
607,41,PERBAUNGAN
608,41,PEGAJAHAN
609,41,PANTAI CERMIN
610,42,SEI BALAI
611,42,TANJUNG TIRAM
612,42,NIBUNG HANGUS
613,42,TALAWI
614,42,DATUK TANAH DATAR
615,42,LIMA PULUH
616,42,LIMA PULUH PESISIR
617,42,DATUK LIMA PULUH
618,42,AIR PUTIH
619,42,SEI SUKA
620,42,LAUT TADOR
621,42,MEDANG DERAS
622,43,BATANG ONANG
623,43,PADANG BOLAK JULU
624,43,PORTIBI
625,43,PADANG BOLAK
626,43,PADANG BOLAK TENGGARA
627,43,SIMANGAMBAT
628,43,UJUNG BATU
629,43,HALONGONAN
630,43,HALONGONAN TIMUR
631,43,DOLOK
632,43,DOLOK SIGOMPULON
633,43,HULU SIHAPAS
634,44,SOSOPAN
635,44,ULU BARUMUN
636,44,BARUMUN
637,44,BARUMUN SELATAN
638,44,LUBUK BARUMUN
639,44,SOSA
640,44,BATANG LUBU SUTAM
641,44,HUTA RAJA TINGGI
642,44,HURISTAK
643,44,BARUMUN TENGAH
644,44,AEK NABARA BARUMUN
645,45,SUNGAI KANAN
646,45,TORGAMBA
647,45,KOTAPINANG
648,45,SILANGKITANG
649,45,KAMPUNG RAKYAT
650,46,NA IX - X
651,46,MARBAU
652,46,AEK KUO
653,46,AEK NATAS
654,46,KUALUH SELATAN
655,46,KUALUH HILIR
656,46,KUALUH HULU
657,46,KUALUH LEIDONG
658,47,TUGALA OYO
659,47,ALASA
660,47,ALASA TALUMUZOI
661,47,NAMOHALU ESIWA
662,47,SITOLU ORI
663,47,TUHEMBERUA
664,47,SAWO
665,47,LOTU
666,47,LAHEWA TIMUR
667,47,AFULU
668,47,LAHEWA
669,48,SIROMBU
670,48,LAHOMI
671,48,ULU MORO'O
672,48,LOLOFITU MOI
673,48,MANDREHE UTARA
674,48,MANDREHE
675,48,MANDREHE BARAT
676,48,MORO'O
677,49,SIBOLGA UTARA
678,49,SIBOLGA KOTA
679,49,SIBOLGA SELATAN
680,49,SIBOLGA SAMBAS
681,50,DATUK BANDAR
682,50,DATUK BANDAR TIMUR
683,50,TANJUNG BALAI SELATAN
684,50,TANJUNG BALAI UTARA
685,50,SEI TUALANG RASO
686,50,TELUK NIBUNG
687,51,SIANTAR MARIHAT
688,51,SIANTAR MARIMBUN
689,51,SIANTAR SELATAN
690,51,SIANTAR BARAT
691,51,SIANTAR UTARA
692,51,SIANTAR TIMUR
693,51,SIANTAR MARTOBA
694,51,SIANTAR SITALASARI
695,52,PADANG HULU
696,52,TEBING TINGGI KOTA
697,52,RAMBUTAN
698,52,BAJENIS
699,52,PADANG HILIR
700,53,MEDAN TUNTUNGAN
701,53,MEDAN JOHOR
702,53,MEDAN AMPLAS
703,53,MEDAN DENAI
704,53,MEDAN AREA
705,53,MEDAN KOTA
706,53,MEDAN MAIMUN
707,53,MEDAN POLONIA
708,53,MEDAN BARU
709,53,MEDAN SELAYANG
710,53,MEDAN SUNGGAL
711,53,MEDAN HELVETIA
712,53,MEDAN PETISAH
713,53,MEDAN BARAT
714,53,MEDAN TIMUR
715,53,MEDAN PERJUANGAN
716,53,MEDAN TEMBUNG
717,53,MEDAN DELI
718,53,MEDAN LABUHAN
719,53,MEDAN MARELAN
720,53,MEDAN BELAWAN
721,54,BINJAI SELATAN
722,54,BINJAI KOTA
723,54,BINJAI TIMUR
724,54,BINJAI UTARA
725,54,BINJAI BARAT
726,55,PADANGSIDIMPUAN TENGGARA
727,55,PADANGSIDIMPUAN SELATAN
728,55,PADANGSIDIMPUAN BATUNADUA
729,55,PADANGSIDIMPUAN UTARA
730,55,PADANGSIDIMPUAN HUTAIMBARU
731,55,PADANGSIDIMPUAN ANGKOLA JULU
732,56,GUNUNGSITOLI IDANOI
733,56,GUNUNGSITOLI SELATAN
734,56,GUNUNGSITOLI BARAT
735,56,GUNUNGSITOLI
736,56,GUNUNGSITOLI ALO'OA
737,56,GUNUNGSITOLI UTARA
738,57,PAGAI SELATAN
739,57,SIKAKAP
740,57,PAGAI UTARA
741,57,SIPORA SELATAN
742,57,SIPORA UTARA
743,57,SIBERUT SELATAN
744,57,SIBERUT BARAT DAYA
745,57,SIBERUT TENGAH
746,57,SIBERUT UTARA
747,57,SIBERUT BARAT
748,58,SILAUT
749,58,LUNANG
750,58,BASA AMPEK BALAI
751,58,RANAH AMPEK HULU
752,58,PANCUNG SOAL
753,58,AIRPURA
754,58,LINGGO SARI BAGANTI
755,58,RANAH PESISIR
756,58,LENGAYANG
757,58,SUTERA
758,58,BATANG KAPAS
759,58,IV JURAI
760,58,BAYANG
761,58,IV NAGARI BAYANG UTARA
762,58,KOTO XI TARUSAN
763,59,PANTAI CERMIN
764,59,LEMBAH GUMANTI
765,59,HILIRAN GUMANTI
766,59,PAYUNG SEKAKI
767,59,TIGO LURAH
768,59,LEMBANG JAYA
769,59,DANAU KEMBAR
770,59,GUNUNG TALANG
771,59,BUKIT SUNDI
772,59,IX KOTO SUNGAI LASI
773,59,KUBUNG
774,59,X KOTO DIATAS
775,59,X KOTO SINGKARAK
776,59,JUNJUNG SIRIH
777,60,KAMANG BARU
778,60,TANJUNG GADANG
779,60,SIJUNJUNG
780,60,LUBUAK TAROK
781,60,IV NAGARI
782,60,KUPITAN
783,60,KOTO VII
784,60,SUMPUR KUDUS
785,61,X KOTO
786,61,BATIPUH
787,61,BATIPUAH SELATAN
788,61,PARIANGAN
789,61,RAMBATAN
790,61,LIMA KAUM
791,61,TANJUNG EMAS
792,61,PADANG GANTING
793,61,LINTAU BUO
794,61,LINTAU BUO UTARA
795,61,SUNGAYANG
796,61,SUNGAI TARAB
797,61,SALIMPAUNG
798,61,TANJUANG BARU
799,62,BATANG ANAI
800,62,LUBUK ALUNG
801,62,SINTUAK TOBOH GADANG
802,62,ULAKAN TAPAKIH
803,62,NAN SABARIS
804,62,2 X 11 ENAM
805,62,ENAM LINGKUNG
806,62,2 X 11 KAYU TANAM
807,62,VII KOTO SUNGAI SARIK
808,62,PATAMUAN
809,62,PADANG SAGO
810,62,V KOTO KAMPUNG
811,62,V KOTO TIMUR
812,62,SUNGAI LIMAU
813,62,BATANG GASAN
814,62,SUNGAI GARINGGING
815,62,IV KOTO AUR MALINTANG
816,63,TANJUNG MUTIARA
817,63,LUBUK BASUNG
818,63,AMPEK NAGARI
819,63,TANJUNG RAYA
820,63,MATUR
821,63,IV KOTO
822,63,MALALAK
823,63,BANUHAMPU
824,63,SUNGAI PUA
825,63,AMPEK ANGKEK
826,63,CANDUNG
827,63,BASO
828,63,TILATANG KAMANG
829,63,KAMANG MAGEK
830,63,PELEMBAYAN
831,63,PALUPUH
832,64,PAYAKUMBUH
833,64,AKABILURU
834,64,LUAK
835,64,LAREH SAGO HALABAN
836,64,SITUJUAH LIMO NAGARI
837,64,HARAU
838,64,GUGUAK
839,64,MUNGKA
840,64,SULIKI
841,64,BUKIK BARISAN
842,64,GUNUANG OMEH
843,64,KAPUR IX
844,64,PANGKALAN KOTO BARU
845,65,BONJOL
846,65,TIGO NAGARI
847,65,SIMPANG ALAHAN MATI
848,65,LUBUK SIKAPING
849,65,DUO KOTO
850,65,PANTI
851,65,PADANG GELUGUR
852,65,RAO
853,65,MAPAT TUNGGUL
854,65,MAPAT TUNGGUL SELATAN
855,65,RAO SELATAN
856,65,RAO UTARA
857,66,SANGIR
858,66,SANGIR JUJUAN
859,66,SANGIR BALAI JANGGO
860,66,SANGIR BATANG HARI
861,66,SUNGAI PAGU
862,66,PAUH DUO
863,66,KOTO PARIK GADANG
864,67,SUNGAI RUMBAI
865,67,KOTO BESAR
866,67,ASAM JUJUHAN
867,67,KOTO BARU
868,67,KOTO SALAK
869,67,TIUMANG
870,67,PADANG LAWEH
871,67,SITIUNG
872,67,TIMPEH
873,67,PULAU PUNJUNG
874,67,SEMBILAN KOTO
875,68,SUNGAIBEREMAS
876,68,RANAH BATAHAN
877,68,KOTO BALINGKA
878,68,SUNGAIAUR
879,68,LEMBAH MELINTANG
880,68,GUNUNGTULEH
881,68,TALAMAU
882,68,PASAMAN
883,68,LUHAK NAN DUO
884,68,SASAK RANAH PESISIR
885,68,KINALI
886,69,BUNGUS TELUK KABUNG
887,69,LUBUK KILANGAN
888,69,LUBUK BEGALUNG
889,69,PADANG SELATAN
890,69,PADANG TIMUR
891,69,PADANG BARAT
892,69,PADANG UTARA
893,69,NANGGALO
894,69,KURANJI
895,69,PAUH
896,69,KOTO TANGAH
897,70,LUBUK SIKARAH
898,70,TANJUNG HARAPAN
899,71,SILUNGKANG
900,71,LEMBAH SEGAR
901,71,BARANGIN
902,71,TALAWI
903,72,PADANG PANJANG BARAT
904,72,PADANG PANJANG TIMUR
905,73,GUGUAK PANJANG
906,73,MANDIANGIN K. SELAYAN
907,73,AUR BIRUGO TIGO BALEH
908,74,PAYAKUMBUH BARAT
909,74,PAYAKUMBUH SELATAN
910,74,PAYAKUMBUH TIMUR
911,74,PAYAKUMBUH UTARA
912,74,LAMPOSI TIGO NAGORI
913,75,PARIAMAN SELATAN
914,75,PARIAMAN TENGAH
915,75,PARIAMAN TIMUR
916,75,PARIAMAN UTARA
917,76,KUANTAN MUDIK
918,76,HULU KUANTAN
919,76,GUNUNGTOAR
920,76,PUCUK RANTAU
921,76,SINGINGI
922,76,SINGINGI HILIR
923,76,KUANTAN TENGAH
924,76,SENTAJO RAYA
925,76,BENAI
926,76,KUANTAN HILIR
927,76,PANGEAN
928,76,LOGAS TANAH DARAT
929,76,KUANTAN HILIR SEBERANG
930,76,CERENTI
931,76,INUMAN
932,77,PERANAP
933,77,BATANG PERANAP
934,77,SIBERIDA
935,77,BATANG CENAKU
936,77,BATANG GANGSAL
937,77,KELAYANG
938,77,RAKIT KULIM
939,77,PASIR PENYU
940,77,LIRIK
941,77,SUNGAI LALA
942,77,LUBUK BATU JAYA
943,77,RENGAT BARAT
944,77,RENGAT
945,77,KUALA CENAKU
946,78,KERITANG
947,78,KEMUNING
948,78,RETEH
949,78,SUNGAI BATANG
950,78,ENOK
951,78,TANAH MERAH
952,78,KUALA INDRAGIRI
953,78,CONCONG
954,78,TEMBILAHAN
955,78,TEMBILAHAN HULU
956,78,TEMPULING
957,78,KEMPAS
958,78,BATANG TUAKA
959,78,GAUNG ANAK SERKA
960,78,GAUNG
961,78,MANDAH
962,78,KATEMAN
963,78,PELANGIRAN
964,78,TELUK BELENGKONG
965,78,PULAU BURUNG
966,79,LANGGAM
967,79,PANGKALAN KERINCI
968,79,BANDAR SEI KIJANG
969,79,PANGKALAN KURAS
970,79,UKUI
971,79,PANGKALAN LESUNG
972,79,BUNUT
973,79,PELALAWAN
974,79,BANDAR PETALANGAN
975,79,KUALA KAMPAR
976,79,KERUMUTAN
977,79,TELUK MERANTI
978,80,MINAS
979,80,SUNGAI MANDAU
980,80,KANDIS
981,80,SIAK
982,80,KERINCI KANAN
983,80,TUALANG
984,80,DAYUN
985,80,LUBUK DALAM
986,80,KOTO GASIB
987,80,MEMPURA
988,80,SUNGAI APIT
989,80,BUNGA RAYA
990,80,SABAK AUH
991,80,PUSAKO
992,81,KAMPAR KIRI
993,81,KAMPAR KIRI HULU
994,81,KAMPAR KIRI HILIR
995,81,GUNUNG SAHILAN
996,81,KAMPAR KIRI TENGAH
997,81,XIII KOTO KAMPAR
998,81,KOTO KAMPAR HULU
999,81,KUOK
1000,81,SALO
1001,81,TAPUNG
1002,81,TAPUNG HULU
1003,81,TAPUNG HILIR
1004,81,BANGKINANG KOTA
1005,81,BANGKINANG
1006,81,KAMPAR
1007,81,KAMPA
